A,71,40,67,16,91
B,6,7,79,47,65
C,1,78,13,93,37
D,4,96,58,55,9
E,7,95,35,69,18
F,61,48,19,44,17
G,5,84,76,2,36
H,85,90,79,47,29
I,98,21,24,57,89
J,70,33,44,89,76
K,86,83,14,26,72
L,18,82,93,58,26
M,97,34,90,29,1
N,51,68,24,27,82
O,12,29,99,58,69
P,6,13,70,49,42
Q,75,83,13,86,37
R,63,25,80,65,11
S,79,31,42,29,54
T,84,17,24,81,1
U,94,63,92,97,85
V,45,98,5,28,21
W,7,41,24,13,33
X,17,1,93,54,79
Y,67,20,44,70,9
Z,21,31,78,26,9
AA,6,42,8,36,56
AB,31,91,92,73,71
AC,83,3,57,11,62
AD,48,47,62,71,5
AE,6,74,37,81,26
AF,5,84,79,56,66
AG,59,88,15,7,91
AH,97,88,78,63,63
AI,77,59,52,85,85
AJ,46,79,31,58,62
AK,34,1,36,86,85
AL,53,82,73,3,29
AM,10,18,18,82,58
AN,63,88,79,32,20
1,62,51,16,17,51
2,7,0,91,73,71
3,95,62,45,70,12
4,59,31,17,22,54
5,77,4,70,28,73
6,71,47,58,20,66
7,55,30,79,39,81
8,39,91,4,70,13
9,11,34,77,15,28
10,48,88,10,90,64
11,70,65,17,98,86
12,5,57,80,85,65
13,92,5,97,11,4
14,1,73,38,93,93
15,93,43,31,85,66
16,62,88,7,36,21
17,30,95,44,63,10
18,49,96,56,17,67
19,70,93,39,3,60
20,22,9,85,90,52
21,27,76,7,98,81
22,92,49,45,96,96
23,61,63,90,28,31
24,14,28,93,30,37
25,42,9,92,66,1
26,8,29,20,90,86
27,46,83,52,87,30
28,2,60,50,77,97
29,68,16,34,22,51
30,19,37,99,64,9
31,18,82,16,97,15
32,92,55,57,5,23
33,18,10,45,92,16
34,75,20,66,49,36
35,8,60,31,7,8
36,38,12,73,41,48
37,59,3,11,31,11
38,84,6,100,47,65
39,93,18,38,35,33
40,94,66,9,23,83
41,70,41,40,68,37
42,70,54,0,3,44
43,67,54,68,61,28
44,15,6,46,80,42
45,87,73,22,93,68
46,2,91,65,80,51
47,59,57,82,97,51
48,3,90,34,87,67
49,87,56,8,30,61
50,58,1,28,17,86
51,86,91,70,85,90
52,17,97,15,68,15
53,94,12,10,23,91
54,12,44,59,77,63
55,80,22,61,67,22
56,88,49,33,73,94
57,38,12,56,48,8
58,33,4,95,89,20
59,83,41,43,14,14
60,46,66,99,55,42
61,94,97,37,23,10
62,7,37,68,15,81
63,92,9,51,99,85
64,51,92,70,55,6
65,38,55,27,46,49
66,3,88,76,69,2
67,43,3,38,67,47
68,31,99,4,14,23
69,76,49,59,77,92
70,20,6,79,31,67
71,22,30,74,99,3
72,95,71,92,33,78
73,77,50,39,35,13
74,76,36,97,28,63
75,12,18,54,15,19
76,65,47,74,62,13
77,90,10,51,67,47
78,94,54,91,26,91
79,56,59,35,25,12
80,1,44,60,14,2
81,45,39,44,54,99
82,97,1,41,90,25
83,30,53,77,39,47
84,57,53,49,48,71
85,7,71,45,64,12
86,25,63,66,84,85
87,21,79,78,46,25
88,76,76,62,6,75
89,27,48,51,71,15
90,59,10,77,39,51
91,70,62,97,66,48
92,92,62,24,60,63
93,79,91,91,54,25
94,72,80,84,35,95
95,25,11,50,80,23
96,82,63,71,81,34
97,66,38,55,94,83
